Year,iso_code3,ef_ippu_tonne_c2hf5_per_mmm_gdp_product_use_ods_refrigeration
2021,ABW,0.0
2022,ABW,0.0
2023,ABW,0.0
2024,ABW,0.0
2025,ABW,0.0
2026,ABW,0.0
2027,ABW,0.0
2028,ABW,0.0
2029,ABW,0.0
2030,ABW,0.0
2031,ABW,0.0
2032,ABW,0.0
2033,ABW,0.0
2034,ABW,0.0
2035,ABW,0.0
2036,ABW,0.0
2037,ABW,0.0
2038,ABW,0.0
2039,ABW,0.0
2040,ABW,0.0
2041,ABW,0.0
2042,ABW,0.0
2043,ABW,0.0
2044,ABW,0.0
2045,ABW,0.0
2046,ABW,0.0
2047,ABW,0.0
2048,ABW,0.0
2049,ABW,0.0
2050,ABW,0.0
2021,AFG,0.0
2022,AFG,0.0
2023,AFG,0.0
2024,AFG,0.0
2025,AFG,0.0
2026,AFG,0.0
2027,AFG,0.0
2028,AFG,0.0
2029,AFG,0.0
2030,AFG,0.0
2031,AFG,0.0
2032,AFG,0.0
2033,AFG,0.0
2034,AFG,0.0
2035,AFG,0.0
2036,AFG,0.0
2037,AFG,0.0
2038,AFG,0.0
2039,AFG,0.0
2040,AFG,0.0
2041,AFG,0.0
2042,AFG,0.0
2043,AFG,0.0
2044,AFG,0.0
2045,AFG,0.0
2046,AFG,0.0
2047,AFG,0.0
2048,AFG,0.0
2049,AFG,0.0
2050,AFG,0.0
2021,AGO,0.0641608105168417
2022,AGO,0.0641608105168417
2023,AGO,0.0641608105168417
2024,AGO,0.0641608105168417
2025,AGO,0.0641608105168417
2026,AGO,0.0641608105168417
2027,AGO,0.0641608105168417
2028,AGO,0.0641608105168417
2029,AGO,0.0641608105168417
2030,AGO,0.0641608105168417
2031,AGO,0.0641608105168417
2032,AGO,0.0641608105168417
2033,AGO,0.0641608105168417
2034,AGO,0.0641608105168417
2035,AGO,0.0641608105168417
2036,AGO,0.0641608105168417
2037,AGO,0.0641608105168417
2038,AGO,0.0641608105168417
2039,AGO,0.0641608105168417
2040,AGO,0.0641608105168417
2041,AGO,0.0641608105168417
2042,AGO,0.0641608105168417
2043,AGO,0.0641608105168417
2044,AGO,0.0641608105168417
2045,AGO,0.0641608105168417
2046,AGO,0.0641608105168417
2047,AGO,0.0641608105168417
2048,AGO,0.0641608105168417
2049,AGO,0.0641608105168417
2050,AGO,0.0641608105168417
2021,ALB,0.1536423727381186
2022,ALB,0.1536423727381186
2023,ALB,0.1536423727381186
2024,ALB,0.1536423727381186
2025,ALB,0.1536423727381186
2026,ALB,0.1536423727381186
2027,ALB,0.1536423727381186
2028,ALB,0.1536423727381186
2029,ALB,0.1536423727381186
2030,ALB,0.1536423727381186
2031,ALB,0.1536423727381186
2032,ALB,0.1536423727381186
2033,ALB,0.1536423727381186
2034,ALB,0.1536423727381186
2035,ALB,0.1536423727381186
2036,ALB,0.1536423727381186
2037,ALB,0.1536423727381186
2038,ALB,0.1536423727381186
2039,ALB,0.1536423727381186
