,Unnamed: 0,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_recycled_wood
0,0,LA,Louisiana,2010,0.0046722740013306
1,1,LA,Louisiana,2011,0.0046095683528319
2,2,LA,Louisiana,2012,0.0037282443484607
3,3,LA,Louisiana,2013,0.0039920874888144
4,4,LA,Louisiana,2014,0.0043762693763204
5,5,LA,Louisiana,2015,0.003748286055112
6,6,LA,Louisiana,2016,0.0046570945848828
7,7,LA,Louisiana,2017,0.0054481195698275
8,8,LA,Louisiana,2018,0.0058060009488259
9,9,LA,Louisiana,2019,0.0051024290462989
10,10,LA,Louisiana,2020,0.0047917856036439
