Year,iso_code3,pij_lndu_wetlands_to_croplands
2020,LA,9.531521463101225e-05
2021,LA,9.531521463101225e-05
2022,LA,9.531521463101225e-05
2023,LA,9.531521463101225e-05
2024,LA,9.531521463101225e-05
2025,LA,9.531521463101225e-05
2026,LA,9.531521463101225e-05
2027,LA,9.531521463101225e-05
2028,LA,9.531521463101225e-05
2029,LA,9.531521463101225e-05
2030,LA,9.531521463101225e-05
2031,LA,9.531521463101225e-05
2032,LA,9.531521463101225e-05
2033,LA,9.531521463101225e-05
2034,LA,9.531521463101225e-05
2035,LA,9.531521463101225e-05
2036,LA,9.531521463101225e-05
2037,LA,9.531521463101225e-05
2038,LA,9.531521463101225e-05
2039,LA,9.531521463101225e-05
2040,LA,9.531521463101225e-05
2041,LA,9.531521463101225e-05
2042,LA,9.531521463101225e-05
2043,LA,9.531521463101225e-05
2044,LA,9.531521463101225e-05
2045,LA,9.531521463101225e-05
2046,LA,9.531521463101225e-05
2047,LA,9.531521463101225e-05
2048,LA,9.531521463101225e-05
2049,LA,9.531521463101225e-05
2050,LA,9.531521463101225e-05
