"iso_code3","Year","frac_waso_initial_composition_ind_wood"
"LA",2021,0.0538194444444444
"LA",2022,0.0538194444444444
"LA",2023,0.0538194444444444
"LA",2024,0.0538194444444444
"LA",2025,0.0538194444444444
"LA",2026,0.0538194444444444
"LA",2027,0.0538194444444444
"LA",2028,0.0538194444444444
"LA",2029,0.0538194444444444
"LA",2030,0.0538194444444444
"LA",2031,0.0538194444444444
"LA",2032,0.0538194444444444
"LA",2033,0.0538194444444444
"LA",2034,0.0538194444444444
"LA",2035,0.0538194444444444
"LA",2036,0.0538194444444444
"LA",2037,0.0538194444444444
"LA",2038,0.0538194444444444
"LA",2039,0.0538194444444444
"LA",2040,0.0538194444444444
"LA",2041,0.0538194444444444
"LA",2042,0.0538194444444444
"LA",2043,0.0538194444444444
"LA",2044,0.0538194444444444
"LA",2045,0.0538194444444444
"LA",2046,0.0538194444444444
"LA",2047,0.0538194444444444
"LA",2048,0.0538194444444444
"LA",2049,0.0538194444444444
"LA",2050,0.0538194444444444
