,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_textiles
0,LA,Louisiana,2010,0.0043472879078141746
1,LA,Louisiana,2011,0.00421476238346853
2,LA,Louisiana,2012,0.003706640791394352
3,LA,Louisiana,2013,0.0036014193373288842
4,LA,Louisiana,2014,0.003581114439302052
5,LA,Louisiana,2015,0.0032967545263274563
6,LA,Louisiana,2016,0.003216406375457971
7,LA,Louisiana,2017,0.002856355551895589
8,LA,Louisiana,2018,0.0027898982625713807
9,LA,Louisiana,2019,0.0028478383391569383
10,LA,Louisiana,2020,0.0022068493425817398
